'EM, ə m
CONTRAST, k ə n t ɹ ˈɑː s t
CONTRAST, k ˈɒ n t ɹ ɑː s t
CONTRIBUTE, k ə n t ɹ ˈɪ b juː t
CONTRIBUTION, k ˌɒ n t ɹ ɪ b ˈjuː ʃ ə n
CONTRIBUTIONS, k ˌɒ n t ɹ ɪ b ˈjuː ʃ ə n z
CONTROL, k ə n t ɹ ˈəʊ l
CONTROLLED, k ə n t ɹ ˈəʊ l d
CONTROLS, k ə n t ɹ ˈəʊ l z
CONTROVERSIAL, k ˌɒ n t ɹ ə v ˈɜː ʃ ə l
CONTROVERSY, k ˈɒ n t ɹ ə v ˌɜː s iː
CONVENIENT, k ə n v ˈiː n j ə n t
CONVENTION, k ə n v ˈɛ n ʃ ə n
CONVENTIONAL, k ə n v ˈɛ n ʃ ə n ə l
CONVERSATION, k ˌɒ n v ə s ˈeɪ ʃ ə n
CONVERSATIONS, k ˌɒ n v ə s ˈeɪ ʃ ə n z
CONVERSION, k ə n v ˈɜː ʒ ə n
CONVICTION, k ə n v ˈɪ k ʃ ə n
CONVINCED, k ə n v ˈɪ n s t
COOK, k ˈʊ k
COOKED, k ˈʊ k t
COOKER, k ˈʊ k ə
COOKING, k ˈʊ k ɪ ŋ
COOL, k ˈuː l
COPE, k ˈəʊ p
COPIES, k ˈɒ p iː z
COPPER, k ˈɒ p ə
COPY, k ˈɒ p iː
COR, k ˈɔː
CORBETT, k ˈɔː b ɪ t
CORE, k ˈɔː
CORK, k ˈɔː k
CORN, k ˈɔː n
CORNER, k ˈɔː n ə
CORNERS, k ˈɔː n ə z
CORNWALL, k ˈɔː n w ɔː l
CORONATION, k ˌɒ ɹ ə n ˈeɪ ʃ ə n
CORP, k ˌɔː p
CORPORATE, k ˈɔː p ə ɹ ə t
CORPORATE, k ˈɔː p ɹ ə t
CORPORATION, k ˌɔː p ə ɹ ˈeɪ ʃ ə n
CORPORATIONS, k ˌɔː p ə ɹ ˈeɪ ʃ ə n z
CORRECT, k ə ɹ ˈɛ k t
CORRECTLY, k ə ɹ ˈɛ k t l iː
CORRESPONDENCE, k ˌɒ ɹ ɪ s p ˈɒ n d ə n s
CORRESPONDENT, k ˌɒ ɹ ɪ s p ˈɒ n d ə n t
CORRIDOR, k ˈɒ ɹ ɪ d ɔː
COS, k ˈɒ s
COST, k ˈɒ s t
COST, k ˈɒ s t
COSTING, k ˈɒ s t ɪ ŋ
COSTS, k ˈɒ s t s
COSTS, k ˈɒ s t s
COSY, k ˈəʊ z iː
COT, k ˈɒ t
COTTAGE, k ˈɒ t ɪ dʒ
COTTON, k ˈɒ t ə n
COTTON, k ˈɒ t ə n
COU, k ˈuː
COUGH, k ˈɒ f
COUGH, k ˈɒ f
COUGHING, k ˈɒ f ɪ ŋ
COUGHING, k ˈɒ f ɪ ŋ
COULD, k ˈʊ d
COUNCIL, k ˈaʊ n s ə l
COUNCILLOR, k ˈaʊ n s l ə
COUNCILLOR, k ˈaʊ n s ə l ə
COUNCILLORS, k ˈaʊ n s l ə z
COUNCILLORS, k ˈaʊ n s ə l ə z
COUNCILOR, k ˈaʊ n s l ə
COUNCILOR, k ˈaʊ n s ə l ə
COUNCILORS, k ˈaʊ n s l ə z
COUNCILORS, k ˈaʊ n s ə l ə z
COUNCILS, k ˈaʊ n s ə l z
COUNT, k ˈaʊ n t
COUNTER, k ˈaʊ n t ə
COUNTING, k ˈaʊ n t ɪ ŋ
COUNTRIES, k ˈɐ n t ɹ iː z
COUNTRY, k ˈɐ n t ɹ iː
COUNTRYSIDE, k ˈɐ n t ɹ ɪ s ˌaɪ d
COUNTY, k ˈaʊ n t iː
COUP, k ˈuː
COUPLE, k ˈɐ p ə l
COURAGE, k ˈɐ ɹ ɪ dʒ
COURSE, k ˈɔː s
COURSES, k ˈɔː s ɪ z
COURSES, k ˈɔː s ɪ z
COURT, k ˈɔː t
COURTS, k ˈɔː t s
COUSIN, k ˈɐ z ə n
COUSINS, k ˈɐ z ə n z
COVER, k ˈɐ v ə
COVERAGE, k ˈɐ v ə ɹ ɪ dʒ
COVERAGE, k ˈɐ v ɹ ɪ dʒ
COVERED, k ˈɐ v ə d
COVERING, k ˈɐ v ə ɹ ɪ ŋ
COVERING, k ˈɐ v ɹ ɪ ŋ
COVERS, k ˈɐ v ə z
COW, k ˈaʊ
COWS, k ˈaʊ z
CRACK, k ɹ ˈæ k
CRACKED, k ɹ ˈæ k t
CRACKER, k ɹ ˈæ k ə
CRACKERS, k ɹ ˈæ k ə z
CRACKING, k ɹ ˈæ k ɪ ŋ
CRAFT, k ɹ ˈɑː f t
CRAFTY, k ɹ ˈɑː f t iː
CRAIG, k ɹ ˈeɪ g
CRAP, k ɹ ˈæ p
CRASH, k ɹ ˈæ ʃ
CRASHED, k ɹ ˈæ ʃ t
CRAZY, k ɹ ˈeɪ z iː
CREAM, k ɹ ˈiː m
CREATE, k ɹ iː ˈeɪ t
CREATED, k ɹ iː ˈeɪ t ɪ d
CREATES, k ɹ iː ˈeɪ t s
CREATING, k ɹ iː ˈeɪ t ɪ ŋ
CREATION, k ɹ iː ˈeɪ ʃ ə n
CREATIVE, k ɹ iː ˈeɪ t ɪ v
CREATURE, k ɹ ˈiː tʃ ə
CREATURES, k ɹ ˈiː tʃ ə z
CREDIT, k ɹ ˈɛ d ɪ t
CREME, k ɹ ˈiː m
CREW, k ɹ ˈuː
CRICKET, k ɹ ˈɪ k ɪ t
CRIED, k ɹ ˈaɪ d
CRIME, k ɹ ˈaɪ m
CRIMES, k ɹ ˈaɪ m z
CRIMINAL, k ɹ ˈɪ m ɪ n ə l
CRISIS, k ɹ ˈaɪ s ɪ s
CRITERIA, k ɹ aɪ t ˈɪə ɹ ɪə
CRITICAL, k ɹ ˈɪ t ɪ k ə l
CRITICISM, k ɹ ˈɪ t ɪ s ˌɪ z ə m
CRITICS, k ɹ ˈɪ t ɪ k s
CROQUET, k ɹ ˈəʊ k eɪ
CROSS, k ɹ ˈɒ s
CROSSED, k ɹ ˈɒ s t
CROSSING, k ɹ ˈɒ s ɪ ŋ
CROSSWORD, k ɹ ˈɒ s w ˌɜː d
CROWD, k ɹ ˈaʊ d
CROWN, k ɹ ˈaʊ n
CRUCIAL, k ɹ ˈuː ʃ ə l
CRUEL, k ɹ ˈuː ə l
CRUEL, k ɹ ˈʊə l
CRUMBS, k ɹ ˈɐ m z
CRY, k ɹ ˈaɪ
CRYING, k ɹ ˈaɪ ɪ ŋ
CRYSTAL, k ɹ ˈɪ s t ə l
CUBS, k ˈɐ b z
CUDDLE, k ˈɐ d ə l
CUE, k ˈjuː
CUES, k ˈjuː z
CULTURAL, k ˈɐ l tʃ ə ɹ ə l
CULTURE, k ˈɐ l tʃ ə
CULTURES, k ˈɐ l tʃ ə z
CUNT, k ˈɐ n t
CUP, k ˈɐ p
CUPBOARD, k ˈɐ b ə d
CUPBOARDS, k ˈɐ b ə d z
CUPS, k ˈɐ p s
CURIOUS, k ˈjʊə ɹ ɪə s
CURLY, k ˈɜː l iː
CURRENCY, k ˈɐ ɹ ə n s iː
CURRENT, k ˈɐ ɹ ə n t
CURRENTLY, k ˈɐ ɹ ə n t l iː
CURRICULUM, k ə ɹ ˈɪ k jʊ l ə m
CURRY, k ˈɐ ɹ iː
CURTAIN, k ˈɜː t ə n
CURTAINS, k ˈɜː t ə n z
CURVE, k ˈɜː v
CUSHION, k ˈʊ ʃ ə n
CUSTARD, k ˈɐ s t ə d
CUSTODY, k ˈɐ s t ə d iː
CUSTOMER, k ˈɐ s t ə m ə
CUSTOMERS, k ˈɐ s t ə m ə z
CUSTOMS, k ˈɐ s t ə m z
CUT, k ˈɐ t
CUTE, k ˈjuː t
CUTS, k ˈɐ t s
CUTTING, k ˈɐ t ɪ ŋ
CWIK, k w ˈɪ k
CY, s ˈaɪ
CYANIDE, s ˈaɪ n ˌaɪ d
CYBILL, s ˈaɪ b ˌɪ l
CYCLE, s ˈaɪ k ə l
CYCLIC, s ˈaɪ k l ɪ k
CYCLING, s ˈaɪ k l ɪ ŋ
CYCLIST, s ˈaɪ k l ɪ s t
CYCLISTS, s ˈaɪ k l ɪ s
CYCLISTS, s ˈaɪ k l ɪ s t s
CYD, s ˈɪ d
CYLINDER, s ˈɪ l ɪ n d ə
CYNIC, s ˈɪ n ɪ k
CYNICS, s ˈɪ n ɪ k s
CYNTH, s ˈɪ n θ
CYNWYD, s ˈɪ n w ɪ d
CYR, s ˈɪə
CYST, s ˈɪ s t
CYSTIC, s ˈɪ s t ɪ k
CYSTS, s ˈɪ s t s
CZECH, tʃ ˈɛ k
CZECHS, tʃ ˈɛ k s
CZYZ, tʃ ˈɪ z
DA, d ˈɑː
DACE, d ˈeɪ s
DAD, d ˈæ d
DADDY, d ˈæ d iː
DADE, d ˈeɪ d
DAE, d ˈeɪ
DAFT, d ˈɑː f t
DAI, d ˈaɪ
DAIEI, d ˈaɪ ˌeɪ
DAIKIN, d ˈeɪ k ɪ n
DAIL, d ˈeɪ l
DAILE, d ˈeɪ l
DAILY, d ˈeɪ l iː
DAIN, d ˈeɪ n
DAINES, d ˈeɪ n z
DAINS, d ˈeɪ n z
DAIS, d ˈeɪ z
DAISE, d ˈeɪ z
DAISY, d ˈeɪ z iː
DAKE, d ˈeɪ k
DAKIN, d ˈeɪ k ɪ n
DALE, d ˈeɪ l
DALE'S, d ˈeɪ l z
DALES, d ˈeɪ l z
DALKE, d ˈeɪ l k
DALPE, d ˈeɪ l p
DAMAGE, d ˈæ m ɪ dʒ
DAMAGES, d ˈæ m ɪ dʒ ɪ z
DAME, d ˈeɪ m
DAME'S, d ˈeɪ m z
DAMES, d ˈeɪ m z
DAMME, d ˈeɪ m
DAMN, d ˈæ m
DAMP, d ˈæ m p
DAN, d ˈæ n
DANCE, d ˈɑː n s
DANCING, d ˈɑː n s ɪ ŋ
DANE, d ˈeɪ n
DANE'S, d ˈeɪ n z
DANES, d ˈeɪ n z
DANGER, d ˈeɪ n dʒ ə
DANGEROUS, d ˈeɪ n dʒ ə ɹ ə s
DANGERS, d ˈeɪ n dʒ ə z
DANIEL, d ˈæ n j ə l
DANISH, d ˈeɪ n ɪ ʃ
DANNY, d ˈæ n iː
DARE, d ˈɛə
DARK, d ˈɑː k
DARKER, d ˈɑː k ə
DARKNESS, d ˈɑː k n ə s
DARLING, d ˈɑː l ɪ ŋ
DARLINGTON, d ˈɑː l ɪ ŋ t ə n
DARREN, d ˈæ ɹ ə n
DARTS, d ˈɑː t s
DARYL, d ˈæ ɹ ə l
DASE, d ˈeɪ z
DASH, d ˈæ ʃ
DATA, d ˈeɪ t ə
DATA, d ˈɑː t ə
DATABASE, d ˈeɪ t ə b ˌeɪ s
DATE, d ˈeɪ t
DATE'S, d ˈeɪ t s
DATED, d ˈeɪ t ɪ d
DATELINE, d ˈeɪ t l ˌaɪ n
DATELINE'S, d ˈeɪ t l ˌaɪ n z
DATELINES, d ˈeɪ t l ˌaɪ n z
DATES, d ˈeɪ t s
DATING, d ˈeɪ t ɪ ŋ
DAUGHTER, d ˈɔː t ə
DAUGHTERS, d ˈɔː t ə z
DAVE, d ˈeɪ v
DAVE'S, d ˈeɪ v z
DAVES, d ˈeɪ v z
DAVID, d ˈeɪ v ɪ d
DAVID'S, d ˈeɪ v ɪ d z
DAVIDS, d ˈeɪ v ɪ d z
DAVIES, d ˈeɪ v iː z
DAVIS, d ˈeɪ v ɪ s
DAVIS'S, d ˈeɪ v ɪ s ɪ z
DAWN, d ˈɔː n
DAY, d ˈeɪ
DAY'S, d ˈeɪ z
DAYE, d ˈeɪ
DAYLE, d ˈeɪ l
DAYLIGHT, d ˈeɪ l ˌaɪ t
DAYLIGHTS, d ˈeɪ l ˌaɪ t s
DAYNE, d ˈeɪ n
DAYS, d ˈeɪ z
DAYS', d ˈeɪ z
DAYTIME, d ˈeɪ t ˌaɪ m
DAYTIMES, d ˈeɪ t ˌaɪ m z
DAZE, d ˈeɪ z
DAZED, d ˈeɪ z d
DE, d ə
DE, d ˈeɪ
DE, d ˈiː
DEAD, d ˈɛ d
DEAD-END, d ɛ d ˈɛ n d
DEADENING, d ˈɛ d n ɪ ŋ
DEADHEAD, d ˈɛ d h ˌɛ d
DEADHEADS, d ˈɛ d h ˌɛ d z
DEADLINE, d ˈɛ d l ˌaɪ n
DEADLINES, d ˈɛ d l ˌaɪ n z
DEADWEIGHT, d ˈɛ d w ˌeɪ t
DEAF, d ˈɛ f
DEAFENING, d ˈɛ f n ɪ ŋ
DEAL, d ˈiː l
DEALER, d ˈiː l ə
DEALERS, d ˈiː l ə z
DEALING, d ˈiː l ɪ ŋ
DEALT, d ˈɛ l t
DEANA, d ˌiː ˈæ n ə
DEAR, d ˈɪə
DEARER, d ˈɪə ɹ ə
DEATH, d ˈɛ θ
DEATH'S, d ˈɛ θ s
DEATHBED, d ˈɛ θ b ˌɛ d
DEATHS, d ˈɛ θ s
DEB, d ˈɛ b
DEBASING, d ɪ b ˈeɪ s ɪ ŋ
DEBATE, d ɪ b ˈeɪ t
DEBBIE, d ˈɛ b iː
DEBELLIS, d ˈɛ b ɪ l ɪ s
DEBIT, d ˈɛ b ɪ t
DEBORAH, d ˈɛ b ə ɹ ə
DEBORAH, d ˈɛ b ɹ ə
DEBS, d ˈɛ b z
DEBT, d ˈɛ t
DEBT'S, d ˈɛ t s
DEBTS, d ˈɛ t s
DEBUS, d ˈɛ b ɪ s
DEBUT, d ˈeɪ b juː
DEC, d ˈɛ k
DEC'S, d ˈɛ k s
DECADE, d ɛ k ˈeɪ d
DECADE, d ˈɛ k eɪ d
DECADE'S, d ˈɛ k eɪ d z
DECADES, d ɛ k ˈeɪ d z
DECADES, d ˈɛ k eɪ d z
DECAY, d ɪ k ˈeɪ
DECAYING, d ɪ k ˈeɪ ɪ ŋ
DECELLE, d ɪ s ˈɛ l
DECEMBER, d ɪ s ˈɛ m b ə
DECENT, d ˈiː s ə n t
DECEPTIVE, d ɪ s ˈɛ p t ɪ v
DECH, d ˈɛ k
DECHELLIS, d ˈɛ k ɪ l ɪ s
DECHINE, d ˈɛ tʃ ˌɪ n
DECIDE, d ˌɪ s ˈaɪ d
DECIDED, d ˌɪ s ˈaɪ d ɪ d
DECIDES, d ˌɪ s ˈaɪ d z
DECIDING, d ˌɪ s ˈaɪ d ɪ ŋ
DECIMAL, d ˈɛ s ə m ə l
DECISION, d ɪ s ˈɪ ʒ ə n
DECISIONS, d ɪ s ˈɪ ʒ ə n z
DECISIVE, d ɪ s ˈaɪ s ɪ v
DECK, d ˈɛ k
DECKED, d ˈɛ k t
DECKING, d ˈɛ k ɪ ŋ
DECKS, d ˈɛ k s
DECLAIM, d ɪ k l ˈeɪ m
DECLAIMED, d ɪ k l ˈeɪ m d
DECLARATION, d ˌɛ k l ə ɹ ˈeɪ ʃ ə n
DECLARED, d ɪ k l ˈɛə d
DECLINE, d ɪ k l ˈaɪ n
DECLINED, d ɪ k l ˈaɪ n d
DECLINES, d ɪ k l ˈaɪ n z
DECLINING, d ɪ k l ˈaɪ n ɪ ŋ
DECORATING, d ˈɛ k ə ɹ ˌeɪ t ɪ ŋ
DECORATIONS, d ˌɛ k ə ɹ ˈeɪ ʃ ə n z
DEDIC, d ˈɛ d ɪ k
DEDICATES, d ˈɛ d ɪ k ˌeɪ t s
DEDICATING, d ˈɛ d ɪ k ˌeɪ t ɪ ŋ
DEE, d ˈiː
DEEP, d ˈiː p
DEEPLY, d ˈiː p l iː
DEES, d ˈiː z
DEFACE, d ɪ f ˈeɪ s
DEFACED, d ɪ f ˈeɪ s t
DEFACING, d ɪ f ˈeɪ s ɪ ŋ
DEFAME, d ɪ f ˈeɪ m
DEFAMED, d ɪ f ˈeɪ m d
DEFEAT, d ɪ f ˈiː t
DEFECT, d ɪ f ˈɛ k t
DEFECTED, d ɪ f ˈɛ k t ɪ d
DEFECTING, d ɪ f ˈɛ k t ɪ ŋ
DEFECTIVE, d ɪ f ˈɛ k t ɪ v
DEFECTS, d ɪ f ˈɛ k t s
DEFELICE, d ɪ f ˈɛ l ɪ s
DEFENCE, d ɪ f ˈɛ n s
DEFEND, d ɪ f ˈɛ n d
DEFENDANT, d ɪ f ˈɛ n d ə n t
DEFENDANTS, d ɪ f ˈɛ n d ə n t s
DEFENDED, d ɪ f ˈɛ n d ɪ d
DEFENDING, d ɪ f ˈɛ n d ɪ ŋ
DEFENDS, d ɪ f ˈɛ n d z
DEFENSE, d ɪ f ˈɛ n s
DEFENSE'S, d ɪ f ˈɛ n s ɪ z
DEFENSES, d ɪ f ˈɛ n s ɪ z
DEFENSIVE, d ɪ f ˈɛ n s ɪ v
DEFEX, d ˈɛ f ˌɛ k s
DEFFEYES, d ɛ f ˈaɪ z
DEFICIT, d ˈɛ f ɪ s ɪ t
DEFICITS, d ˈɛ f ɪ s ɪ t s
DEFIED, d ɪ f ˈaɪ d
DEFIES, d ɪ f ˈaɪ z
DEFILIPPIS, d ˈɛ f ɪ l ɪ p ɪ s
DEFINE, d ɪ f ˈaɪ n
DEFINED, d ɪ f ˈaɪ n d
DEFINES, d ɪ f ˈaɪ n z
DEFINING, d ɪ f ˈaɪ n ɪ ŋ
DEFINITE, d ˈɛ f ɪ n ɪ t
DEFINITELY, d ˈɛ f ɪ n ɪ t l iː
DEFINITION, d ˌɛ f ɪ n ˈɪ ʃ ə n
DEFINITIVE, d ɪ f ˈɪ n ɪ t ɪ v
DEFLATE, d ɪ f l ˈeɪ t
DEFLATED, d ɪ f l ˈeɪ t ɪ d
DEFLATING, d ɪ f l ˈeɪ t ɪ ŋ
DEFLECT, d ɪ f l ˈɛ k t
DEFLECTED, d ɪ f l ˈɛ k t ɪ d
DEFLECTING, d ɪ f l ˈɛ k t ɪ ŋ
DEFLECTS, d ɪ f l ˈɛ k t s
DEFT, d ˈɛ f t
DEFY, d ɪ f ˈaɪ
DEFYING, d ɪ f ˈaɪ ɪ ŋ
DEGREE, d ɪ g ɹ ˈiː
DEGREES, d ɪ g ɹ ˈiː z
DEHECQ, d ɪ h ˈɛ k
DEHM, d ˈɛ m
DEHN, d ˈɛ n
DEHNE, d ˈɛ n
DEIGN, d ˈeɪ n
DEIGNED, d ˈeɪ n d
DEIGNING, d ˈeɪ n ɪ ŋ
DEIGNS, d ˈeɪ n z
DEIHL, d ˈaɪ l
DEIS, d ˈeɪ ɪ z
DEISS, d ˈaɪ s
DEITCH, d ˈaɪ tʃ
DEITSCH, d ˈaɪ tʃ
DEJECT, d ɪ dʒ ˈɛ k t
DEJECTED, d ɪ dʒ ˈɛ k t ɪ d
DEL, d ˈɛ l
DELAGE, d ˈɛ l ɪ dʒ
DELAINE, d ɪ l ˈeɪ n
DELANGE, d ˈɛ l eɪ n dʒ
DELAY, d ɪ l ˈeɪ
DELAYED, d ɪ l ˈeɪ d
DELAYING, d ɪ l ˈeɪ ɪ ŋ
DELAYS, d ɪ l ˈeɪ z
DELEGATES, d ˈɛ l ɪ g ə t s
DELEGATES, d ˈɛ l ɪ g ˌeɪ t s
DELEGATION, d ˌɛ l ɪ g ˈeɪ ʃ ə n
DELELLIS, d ɪ l ˈɛ l ɪ s
DELELLIS, d ˈɛ l ɪ l ɪ s
DELFIN, d ˈɛ l f ɪ n
DELFS, d ˈɛ l f s
DELFT, d ˈɛ l f t
DELGUIDICE, d ɛ l g ˈaɪ d ɪ s
DELHAIZE, d ˌɛ l h ˈeɪ z
DELIAL, d ɪ l ˈaɪ ɛ l
DELIBERATELY, d ɪ l ˈɪ b ə ɹ ə t l iː
DELIBERATELY, d ɪ l ˈɪ b ɹ ə t l iː
DELICATE, d ˈɛ l ɪ k ə t
DELICH, d ˈɛ l ɪ k
DELICIOUS, d ɪ l ˈɪ ʃ ə s
DELIGHT, d ɪ l ˈaɪ t
DELIGHTED, d ɪ l ˈaɪ t ɪ d
DELIGHTING, d ɪ l ˈaɪ t ɪ ŋ
DELIGHTS, d ɪ l ˈaɪ t s
DELISE, d ˈɛ l aɪ z
DELISLE, d ɪ l ˈaɪ l
DELIVER, d ɪ l ˈɪ v ə
DELIVERED, d ɪ l ˈɪ v ə d
DELIVERY, d ɪ l ˈɪ v ə ɹ iː
DELK, d ˈɛ l k
DELL, d ˈɛ l
DELL'S, d ˈɛ l z
DELLA, d ˈɛ l ə
DELLE, d ˈɛ l
DELLING, d ˈɛ l ɪ ŋ
DELLIS, d ˈɛ l ɪ s
DELMED, d ˈɛ l m ˌɛ d
DELMED'S, d ˈɛ l m ˌɛ d z
DELP, d ˈɛ l p
DELPH, d ˈɛ l f
DELPHI, d ˈɛ l f aɪ
DELPHIC, d ˈɛ l f ɪ k
DELTAIC, d ɛ l t ˈeɪ ɪ k
DELTEC, d ˈɛ l t ˌɛ k
DELVE, d ˈɛ l v
DELVED, d ˈɛ l v d
DELVES, d ˈɛ l v z
DELVIN, d ˈɛ l v ɪ n
DELVING, d ˈɛ l v ɪ ŋ
DELWIN, d ˈɛ l w ɪ n
DELWIP, d ˈɛ l w ɪ p
DELWYN, d ˈɛ l w ɪ n
DEMAIN, d ɪ m ˈeɪ n
DEMAND, d ɪ m ˈɑː n d
DEMANDED, d ɪ m ˈɑː n d ɪ d
DEMANDING, d ɪ m ˈɑː n d ɪ ŋ
DEMANDS, d ɪ m ˈɑː n d z
DEMAY, d ˈɛ m eɪ
DEMBECK, d ˈɛ m b ˌɛ k
DEMICHAEL, d ˈɛ m ɪ k ɛ l
DEMICK, d ˈɛ m ɪ k
DEMILLE, d ɪ m ˈɪ l
DEMING, d ˈɛ m ɪ ŋ
DEMISE, d ɪ m ˈaɪ z
DEMISH, d ˈɛ m ɪ ʃ
DEMME, d ˈɛ m
DEMMING, d ˈɛ m ɪ ŋ
DEMOCRACY, d ɪ m ˈɒ k ɹ ə s iː
DEMOCRATIC, d ˌɛ m ə k ɹ ˈæ t ɪ k
DEMOCRATS, d ˈɛ m ə k ɹ ˌæ t s
DEMONSTRATE, d ˈɛ m ə n s t ɹ ˌeɪ t
DEMONSTRATED, d ˈɛ m ə n s t ɹ ˌeɪ t ɪ d
DEMONSTRATION, d ˌɛ m ə n s t ɹ ˈeɪ ʃ ə n
DEMONSTRATIONS, d ˌɛ m ə n s t ɹ ˈeɪ ʃ ə n z
DEMPS, d ˈɛ m p s
DEN, d ˈɛ n
DENEKE, d ˈɛ n ɪ k
DENEVE, d ˈɛ n ɪ v
DENG, d ˈɛ ŋ
DENG'S, d ˈɛ ŋ z
DENGUE, d ˈɛ n g
DENIED, d ɪ n ˈaɪ d
DENIES, d ɪ n ˈaɪ z
DENIKE, d ˈɛ n ɪ k
DENIS, d ˈɛ n ɪ s
DENISE, d ɪ n ˈiː s
DENK, d ˈɛ ŋ k
DENKINS, d ˈɛ ŋ k ɪ n z
DENN, d ˈɛ n
DENNE, d ˈɛ n
DENNETT, d ˈɛ n ɪ t
DENNIN, d ˈɛ n ɪ n
DENNING, d ˈɛ n ɪ ŋ
DENNIS, d ˈɛ n ɪ s
DENS, d ˈɛ n z
DENSCH, d ˈɛ n ʃ
DENSE, d ˈɛ n s
DENSHIN, d ˈɛ n ʃ ɪ n
DENSITY, d ˈɛ n s ɪ t iː
DENT, d ˈɛ n t
DENTIST, d ˈɛ n t ɪ s t
DENTS, d ˈɛ n t s
DENY, d ɪ n ˈaɪ
DENYING, d ɪ n ˈaɪ ɪ ŋ
DENYS, d ˈɛ n ɪ s
DENYSE, d ˈɛ n aɪ s
DENZ, d ˈɛ n z
DEP, d ˈɛ p
DEPARTMENT, d ɪ p ˈɑː t m ə n t
DEPARTMENTS, d ɪ p ˈɑː t m ə n t s
DEPARTURE, d ɪ p ˈɑː tʃ ə
DEPEND, d ɪ p ˈɛ n d
DEPENDED, d ɪ p ˈɛ n d ɪ d
DEPENDENT, d ɪ p ˈɛ n d ə n t
DEPENDING, d ɪ p ˈɛ n d ɪ ŋ
DEPENDS, d ɪ p ˈɛ n d z
DEPHILLIPS, d ɪ f ˈɪ l ɪ p s
DEPHILLIPS, d ˈɛ f ɪ l ɪ p s
DEPICT, d ɪ p ˈɪ k t
DEPICTED, d ɪ p ˈɪ k t ɪ d
DEPICTING, d ɪ p ˈɪ k t ɪ ŋ
DEPICTS, d ɪ p ˈɪ k s
DEPICTS, d ɪ p ˈɪ k t s
DEPOSIT, d ɪ p ˈɒ z ɪ t
DEPP, d ˈɛ p
DEPPE, d ˈɛ p
DEPRESSED, d ɪ p ɹ ˈɛ s t
DEPRESSION, d ɪ p ɹ ˈɛ ʃ ə n
DEPTH, d ˈɛ p θ
DEPTHS, d ˈɛ p θ s
DEPUTY, d ˈɛ p jʊ t iː
DER, d ˈɜː
DEREK, d ˈɛ ɹ ɪ k
DERIVED, d ə ɹ ˈaɪ v d
DES, d ˈɛ s
DES, d ˌɪ
DESCEND, d ɪ s ˈɛ n d
DESCENDANTS, d ɪ s ˈɛ n ɪ n t s
DESCENDED, d ɪ s ˈɛ n d ɪ d
DESCENDING, d ɪ s ˈɛ n d ɪ ŋ
DESCENDS, d ɪ s ˈɛ n d z
DESCENT, d ɪ s ˈɛ n t
DESCENTS, d ɪ s ˈɛ n t s
DESCH, d ˈɛ ʃ
DESCHAINE, d ɪ s k ˈeɪ n
DESCRIBE, d ɪ s k ɹ ˈaɪ b
DESCRIBED, d ɪ s k ɹ ˈaɪ b d
DESCRIBES, d ɪ s k ɹ ˈaɪ b z
DESCRIBING, d ɪ s k ɹ ˈaɪ b ɪ ŋ
DESCRIPTION, d ɪ s k ɹ ˈɪ p ʃ ə n
DESCRIPTIONS, d ɪ s k ɹ ˈɪ p ʃ ə n z
DESERT, d ɪ z ˈɜː t
DESERT, d ˈɛ z ə t
DESHAIES, d ɪ ʃ ˈeɪ z
DESIGN, d ɪ z ˈaɪ n
DESIGNATE, d ˈɛ z ɪ g n ˌeɪ t
DESIGNATED, d ˈɛ z ɪ g n ˌeɪ t ɪ d
DESIGNATES, d ˈɛ z ɪ g n ˌeɪ t s
DESIGNATING, d ˈɛ z ɪ g n ˌeɪ t ɪ ŋ
DESIGNED, d ɪ z ˈaɪ n d
DESIGNER, d ɪ z ˈaɪ n ə
DESIGNING, d ɪ z ˈaɪ n ɪ ŋ
DESIGNS, d ɪ z ˈaɪ n z
DESILETS, d ˈɛ s ɪ l ɪ t s
DESIRABLE, d ɪ z ˈaɪ ə ɹ ə b ə l
DESIRE, d ɪ z ˈaɪ ə
DESIST, d ɪ s ˈɪ s t
DESIST, d ɪ z ˈɪ s t
DESK, d ˈɛ s k
DESKIN, d ˈɛ s k ɪ n
DESKINS, d ˈɛ s k ɪ n z
DESKJET, d ˈɛ s k dʒ ˌɛ t
DESKS, d ˈɛ s k s
DESMET, d ˈɛ s m ɪ t
DESMITH, d ˈɛ s m ɪ θ
DESPAIN, d ɪ s p ˈeɪ n
DESPERATE, d ˈɛ s p ə ɹ ɪ t
DESPERATE, d ˈɛ s p ɹ ɪ t
DESPERATELY, d ˈɛ s p ə ɹ ə t l iː
DESPERATELY, d ˈɛ s p ɹ ə t l iː
DESPISE, d ɪ s p ˈaɪ z
DESPISED, d ɪ s p ˈaɪ z d
DESPISES, d ɪ s p ˈaɪ z ɪ z
DESPISING, d ɪ s p ˈaɪ z ɪ ŋ
DESPITE, d ɪ s p ˈaɪ t
DESSELLE, d ɪ s ˈɛ l
DESSENT, d ɪ s ˈɛ n t
DEST, d ˈɛ s t
DESTEC, d ˈɛ s t ˌɛ k
DESTIN, d ˈɛ s t ɪ n
DESTINED, d ˈɛ s t ɪ n d
DESTROY, d ɪ s t ɹ ˈɔɪ
DESTROYED, d ɪ s t ɹ ˈɔɪ d
DESTRUCTION, d ɪ s t ɹ ˈɐ k ʃ ə n
DETAIL, d ˈiː t eɪ l
DETAILED, d ˈiː t eɪ l d
