'D(1), d
CONNECTING, k ə n ˈɛ k t ɪ ŋ
CONNECTION, k ə n ˈɛ k ʃ ə n
CONNECTIONS, k ə n ˈɛ k ʃ ə n z
CONNECTIVITY, k ə n ɛ k t ˈɪ v ɪ t iː
CONNECTOR, k ə n ˈɛ k t ə
CONNECTORS, k ə n ˈɛ k t ə z
CONNIE, k ˈɒ n iː
CONS, k ˈɒ n z
CONSCIENCE, k ˈɒ n ʃ ə n s
CONSCIOUS, k ˈɒ n ʃ ə s
CONSCIOUSNESS, k ˈɒ n ʃ ə s n ə s
CONSECUTIVE, k ə n s ˈɛ k j ʊ t ɪ v
CONSENSUS, k ə n s ˈɛ n s ə s
CONSENT, k ə n s ˈɛ n t
CONSEQUENCE, k ˈɒ n s ɪ k w ə n s
CONSEQUENCES, k ˈɒ n s ɪ k w ə n s ɪ z
CONSEQUENT, k ˈɒ n s ɪ k w ə n t
CONSEQUENTLY, k ˈɒ n s ɪ k w ə n t l iː
CONSERVATION, k ˌɒ n s ə v ˈeɪ ʃ ə n
CONSERVATIVE, k ə n s ˈɜː v ə t ɪ v
CONSERVATIVES, k ə n s ˈɜː v ə t ɪ v z
CONSERVATORY, k ə n s ˈɜː v ə t ə ɹ iː
CONSIDER, k ə n s ˈɪ d ə
CONSIDERABLE, k ə n s ˈɪ d ə ɹ ə b ə l
CONSIDERABLY, k ə n s ˈɪ d ə ɹ ə b l iː
CONSIDERATION, k ə n s ˌɪ d ə ɹ ˈeɪ ʃ ə n
CONSIDERATIONS, k ə n s ˌɪ d ə ɹ ˈeɪ ʃ ə n z
CONSIDERED, k ə n s ˈɪ d ə d
CONSIDERING, k ə n s ˈɪ d ə ɹ ɪ ŋ
CONSIDERS, k ə n s ˈɪ d ə z
CONSIST, k ə n s ˈɪ s t
CONSISTENCY, k ə n s ˈɪ s t ə n s iː
CONSISTENT, k ə n s ˈɪ s t ə n t
CONSISTENTLY, k ə n s ˈɪ s t ə n t l iː
CONSISTING, k ə n s ˈɪ s t ɪ ŋ
CONSISTS, k ə n s ˈɪ s t s
CONSOLE(1), k ˈɒ n s əʊ l
CONSOLE(2), k ə n s ˈəʊ l
CONSOLES(1), k ˈɒ n s əʊ l z
CONSOLES(2), k ə n s ˈəʊ l z
CONSOLIDATED, k ə n s ˈɒ l ɪ d ˌeɪ t ɪ d
CONSOLIDATION, k ə n s ˌɒ l ɪ d ˈeɪ ʃ ə n
CONSORTIUM, k ə n s ˈɔː t ɪə m
CONSPICUOUS, k ə n s p ˈɪ k j ʊə s
CONSPIRACY, k ə n s p ˈɪ ɹ ə s iː
CONSTABLE, k ˈɒ n s t ə b ə l
CONSTANCE, k ˈɒ n s t ə n s
CONSTANT, k ˈɒ n s t ə n t
CONSTANTLY, k ˈɒ n s t ə n t l iː
CONSTITUENCIES, k ə n s t ˈɪ tʃ ʊə n s iː z
CONSTITUENCY, k ə n s t ˈɪ tʃ ʊə n s iː
CONSTITUENTS, k ə n s t ˈɪ tʃ ʊə n t s
CONSTITUTE, k ˈɒ n s t ɪ t j ˌuː t
CONSTITUTES, k ˈɒ n s t ɪ t j ˌuː t s
CONSTITUTION, k ˌɒ n s t ɪ t j ˈuː ʃ ə n
CONSTITUTIONAL, k ˌɒ n s t ɪ t j ˈuː ʃ ə n ə l
CONSTRAINT, k ə n s t ɹ ˈeɪ n t
CONSTRAINTS, k ə n s t ɹ ˈeɪ n t s
CONSTRUCT(1), k ˈɒ n s t ɹ ɐ k t
CONSTRUCT(2), k ə n s t ɹ ˈɐ k t
CONSTRUCTED, k ə n s t ɹ ˈɐ k t ɪ d
CONSTRUCTION, k ə n s t ɹ ˈɐ k ʃ ə n
CONSTRUCTIVE, k ə n s t ɹ ˈɐ k t ɪ v
CONSULT, k ə n s ˈɐ l t
CONSULTANCY, k ə n s ˈɐ l t ə n s iː
CONSULTANT, k ə n s ˈɐ l t ə n t
CONSULTANTS, k ə n s ˈɐ l t ə n t s
CONSULTATION, k ˌɒ n s ə l t ˈeɪ ʃ ə n
CONSULTING, k ə n s ˈɐ l t ɪ ŋ
CONSUMER, k ə n s j ˈuː m ə
CONSUMERS, k ə n s j ˈuː m ə z
CONSUMPTION(1), k ə n s ˈɐ m ʃ ə n
CONSUMPTION(2), k ə n s ˈɐ m p ʃ ə n
CONTACT(1), k ə n t ˈæ k t
CONTACT(2), k ˈɒ n t ˌæ k t
CONTACTED(1), k ə n t ˈæ k t ɪ d
CONTACTED(2), k ˈɒ n t ˌæ k t ɪ d
CONTACTING(1), k ˈɒ n t ˌæ k t ɪ ŋ
CONTACTING(2), k ə n t ˈæ k t ɪ ŋ
CONTACTS(1), k ə n t ˈæ k t s
CONTACTS(2), k ˈɒ n t ˌæ k t s
CONTAIN, k ə n t ˈeɪ n
CONTAINED, k ə n t ˈeɪ n d
CONTAINER, k ə n t ˈeɪ n ə
CONTAINERS, k ə n t ˈeɪ n ə z
CONTAINING, k ə n t ˈeɪ n ɪ ŋ
CONTAINS, k ə n t ˈeɪ n z
CONTAMINATION, k ə n t ˌæ m ɪ n ˈeɪ ʃ ə n
CONTEMPORARIES, k ə n t ˈɛ m p ə ɹ ə ɹ iː z
CONTEMPORARY, k ə n t ˈɛ m p ə ɹ ə ɹ iː
CONTEMPT, k ə n t ˈɛ m p t
CONTENT(1), k ə n t ˈɛ n t
CONTENT(2), k ˈɒ n t ɛ n t
CONTENTS(1), k ə n t ˈɛ n t s
CONTENTS(2), k ˈɒ n t ɛ n t s
CONTEST(1), k ˈɒ n t ɛ s t
CONTEST(2), k ə n t ˈɛ s t
CONTESTS(1), k ˈɒ n t ɛ s t s
CONTESTS(2), k ə n t ˈɛ s t s
CONTEXT, k ˈɒ n t ɛ k s t
CONTEXTS, k ˈɒ n t ˌɛ k s t s
CONTINENT, k ˈɒ n t ɪ n ə n t
CONTINENTAL, k ˌɒ n t ɪ n ˈɛ n t ə l
CONTINUALLY, k ə n t ˈɪ n j ʊə l iː
CONTINUATION, k ə n t ˌɪ n j uː ˈeɪ ʃ ə n
CONTINUE, k ə n t ˈɪ n j uː
CONTINUED, k ə n t ˈɪ n j uː d
CONTINUES, k ə n t ˈɪ n j uː z
CONTINUING, k ə n t ˈɪ n j uː ɪ ŋ
CONTINUITY, k ˌɒ n t ɪ n j ˈuː ɪ t iː
CONTINUOUS, k ə n t ˈɪ n j uː ə s
CONTINUOUSLY, k ə n t ˈɪ n j ʊə s l iː
CONTRACT(1), k ə n t ɹ ˈæ k t
CONTRACT(2), k ˈɒ n t ɹ ˌæ k t
CONTRACTING, k ə n t ɹ ˈæ k t ɪ ŋ
CONTRACTOR, k ˈɒ n t ɹ ˌæ k t ə
CONTRACTORS, k ˈɒ n t ɹ ˌæ k t ə z
CONTRACTS(1), k ə n t ɹ ˈæ k t s
CONTRACTS(2), k ˈɒ n t ɹ ˌæ k t s
CONTRACTUAL, k ə n t ɹ ˈæ k tʃ ʊə l
CONTRADICTION, k ˌɒ n t ɹ ə d ˈɪ k ʃ ə n
CONTRARY(1), k ˈɒ n t ɹ ə ɹ iː
CONTRARY(2), k ə n t ɹ ˈɛə ɹ iː
CONTRAST(1), k ə n t ɹ ˈɑː s t
CONTRAST(2), k ˈɒ n t ɹ ɑː s t
CONTRASTS(1), k ə n t ɹ ˈɑː s t s
CONTRASTS(2), k ˈɒ n t ɹ ɑː s t s
CONTRIBUTE, k ə n t ɹ ˈɪ b j uː t
CONTRIBUTED, k ə n t ɹ ˈɪ b j uː t ɪ d
CONTRIBUTING, k ə n t ɹ ˈɪ b j uː t ɪ ŋ
CONTRIBUTION, k ˌɒ n t ɹ ɪ b j ˈuː ʃ ə n
CONTRIBUTIONS, k ˌɒ n t ɹ ɪ b j ˈuː ʃ ə n z
CONTRIBUTOR, k ə n t ɹ ˈɪ b j ʊ t ə
CONTRIBUTORS, k ə n t ɹ ˈɪ b j ʊ t ə z
CONTROL, k ə n t ɹ ˈəʊ l
CONTROLLED, k ə n t ɹ ˈəʊ l d
CONTROLLER, k ə n t ɹ ˈəʊ l ə
CONTROLLERS, k ə n t ɹ ˈəʊ l ə z
CONTROLLING, k ə n t ɹ ˈəʊ l ɪ ŋ
CONTROLS, k ə n t ɹ ˈəʊ l z
CONTROVERSIAL, k ˌɒ n t ɹ ə v ˈɜː ʃ ə l
CONTROVERSY, k ˈɒ n t ɹ ə v ˌɜː s iː
CONVENIENCE, k ə n v ˈiː n ɪə n s
CONVENIENT, k ə n v ˈiː n j ə n t
CONVENTION, k ə n v ˈɛ n ʃ ə n
CONVENTIONAL, k ə n v ˈɛ n ʃ ə n ə l
CONVENTIONS, k ə n v ˈɛ n ʃ ə n z
CONVERGENCE, k ə n v ˈɜː dʒ ə n s
CONVERSATION, k ˌɒ n v ə s ˈeɪ ʃ ə n
CONVERSATIONS, k ˌɒ n v ə s ˈeɪ ʃ ə n z
CONVERSELY, k ˈɒ n v ə s l iː
CONVERSION, k ə n v ˈɜː ʒ ə n
CONVERT(1), k ˈɒ n v ɜː t
CONVERT(2), k ə n v ˈɜː t
CONVERTED, k ə n v ˈɜː t ɪ d
CONVERTER, k ə n v ˈɜː t ə
CONVERTIBLE, k ə n v ˈɜː t ɪ b ə l
CONVEY, k ə n v ˈeɪ
CONVICTED, k ə n v ˈɪ k t ɪ d
CONVICTION, k ə n v ˈɪ k ʃ ə n
CONVICTIONS, k ə n v ˈɪ k ʃ ə n z
CONVINCE, k ə n v ˈɪ n s
CONVINCED, k ə n v ˈɪ n s t
CONVINCING, k ə n v ˈɪ n s ɪ ŋ
COOK, k ˈʊ k
COOKBOOK, k ˈʊ k b ˌʊ k
COOKED, k ˈʊ k t
COOKER, k ˈʊ k ə
COOKIE, k ˈʊ k iː
COOKIES, k ˈʊ k iː z
COOKING, k ˈʊ k ɪ ŋ
COOL, k ˈuː l
COOLER, k ˈuː l ə
COOLING, k ˈuː l ɪ ŋ
COOPER, k ˈuː p ə
COOPERATE, k əʊ ˈɒ p ə ɹ ˌeɪ t
COOPERATION, k əʊ ˌɒ p ə ɹ ˈeɪ ʃ ə n
COOPERATIVE, k əʊ ˈɒ p ə ɹ ə t ɪ v
COORDINATE(1), k əʊ ˈɔː d ɪ n ˌeɪ t
COORDINATE(2), k əʊ ˈɔː d ɪ n ə t
COORDINATED, k əʊ ˈɔː d ɪ n eɪ t ɪ d
COORDINATES(1), k əʊ ˈɔː d ɪ n ə t s
COORDINATES(2), k əʊ ˈɔː d ɪ n ˌeɪ t s
COORDINATION, k əʊ ˌɔː d ɪ n ˈeɪ ʃ ə n
COORDINATOR, k əʊ ˈɔː d ɪ n ˌeɪ t ə
COP, k ˈɒ p
COPE, k ˈəʊ p
COPIED, k ˈɒ p iː d
COPIES, k ˈɒ p iː z
COPPER, k ˈɒ p ə
COPS, k ˈɒ p s
COPY, k ˈɒ p iː
COPYING, k ˈɒ p iː ɪ ŋ
COPYRIGHT, k ˈɒ p iː ɹ ˌaɪ t
COPYRIGHTED, k ˈɒ p iː ɹ ˌaɪ t ɪ d
COPYRIGHTS, k ˈɒ p iː ɹ ˌaɪ t s
COR, k ˈɔː
CORAL, k ˈɔː ɹ ə l
CORBETT, k ˈɔː b ɪ t
CORD, k ˈɔː d
CORDLESS, k ˈɔː d l ə s
CORE, k ˈɔː
CORK, k ˈɔː k
CORN, k ˈɔː n
CORNER, k ˈɔː n ə
CORNERS, k ˈɔː n ə z
CORNWALL, k ˈɔː n w ɔː l
CORONATION, k ˌɒ ɹ ə n ˈeɪ ʃ ə n
CORP, k ˈɔː p
CORPORAL(1), k ˈɔː p ə ɹ ə l
CORPORAL(2), k ˈɔː p ɹ ə l
CORPORATE(1), k ˈɔː p ɹ ə t
CORPORATE(2), k ˈɔː p ə ɹ ə t
CORPORATION, k ˌɔː p ə ɹ ˈeɪ ʃ ə n
CORPORATIONS, k ˌɔː p ə ɹ ˈeɪ ʃ ə n z
CORPS(1), k ˈɔː
CORPS(2), k ˈɔː z
CORPSE, k ˈɔː p s
CORPUS, k ˈɔː p ə s
CORRECT, k ə ɹ ˈɛ k t
CORRECTED, k ə ɹ ˈɛ k t ɪ d
CORRECTION, k ə ɹ ˈɛ k ʃ ə n
CORRECTIONS, k ə ɹ ˈɛ k ʃ ə n z
CORRECTLY, k ə ɹ ˈɛ k t l iː
CORRELATION, k ˌɒ ɹ ə l ˈeɪ ʃ ə n
CORRESPONDENCE, k ˌɒ ɹ ɪ s p ˈɒ n d ə n s
CORRESPONDENT, k ˌɒ ɹ ɪ s p ˈɒ n d ə n t
CORRESPONDING, k ˌɒ ɹ ɪ s p ˈɒ n d ɪ ŋ
CORRIDOR, k ˈɒ ɹ ɪ d ɔː
CORRUPTION, k ə ɹ ˈɐ p ʃ ə n
COS, k ˈɒ s
COSMETIC, k ɒ z m ˈɛ t ɪ k
COSMETICS, k ɒ z m ˈɛ t ɪ k s
COST, k ˈɒ s t
COSTA, k ˈɒ s t ə
COSTA RICA, k ˌɒ s t ə ɹ ˈiː k ə
COSTING, k ˈɒ s t ɪ ŋ
COSTLY, k ˈɒ s t l iː
COSTS, k ˈɒ s t s
COSTUME, k ˈɒ s t j uː m
COSTUMES, k ˈɒ s t j uː m z
COSY, k ˈəʊ z iː
COT, k ˈɒ t
COTTAGE, k ˈɒ t ɪ dʒ
COTTAGES, k ˈɒ t ɪ dʒ ɪ z
COTTON, k ˈɒ t ə n
COUCH, k ˈaʊ tʃ
COUGH, k ˈɒ f
COUGHING, k ˈɒ f ɪ ŋ
COUGHS, k ˈɒ f s
COULD, k ˈʊ d
COULDN'T, k ˈʊ d ə n t
COUNCIL, k ˈaʊ n s ə l
COUNCILLOR(1), k ˈaʊ n s l ə
COUNCILLOR(2), k ˈaʊ n s ə l ə
COUNCILLORS(1), k ˈaʊ n s l ə z
COUNCILLORS(2), k ˈaʊ n s ə l ə z
COUNCILOR(1), k ˈaʊ n s l ə
COUNCILOR(2), k ˈaʊ n s ə l ə
COUNCILORS(1), k ˈaʊ n s l ə z
COUNCILORS(2), k ˈaʊ n s ə l ə z
COUNCILS, k ˈaʊ n s ə l z
COUNSEL, k ˈaʊ n s ə l
COUNSELING(1), k ˈaʊ n s ə l ɪ ŋ
COUNSELING(2), k ˈaʊ n s l ɪ ŋ
COUNSELLING(1), k ˈaʊ n s ə l ɪ ŋ
COUNSELLING(2), k ˈaʊ n s l ɪ ŋ
COUNT, k ˈaʊ n t
COUNTED, k ˈaʊ n t ɪ d
COUNTER, k ˈaʊ n t ə
COUNTERPARTS, k ˈaʊ n t ə p ˌɑː t s
COUNTERS, k ˈaʊ n t ə z
COUNTESS, k ˈaʊ n t ə s
COUNTIES, k ˈaʊ n t iː z
COUNTING, k ˈaʊ n t ɪ ŋ
COUNTRIES, k ˈɐ n t ɹ iː z
COUNTRY, k ˈɐ n t ɹ iː
COUNTRYSIDE, k ˈɐ n t ɹ ɪ s ˌaɪ d
COUNTS, k ˈaʊ n t s
COUNTY, k ˈaʊ n t iː
COUP, k ˈuː
COUPLE, k ˈɐ p ə l
COUPLED, k ˈɐ p ə l d
COUPLES, k ˈɐ p ə l z
COUPON, k ˈuː p ɒ n
COUPONS, k ˈuː p ɒ n z
COURAGE, k ˈɐ ɹ ɪ dʒ
COURIER, k ˈʊ ɹ ɪə
COURSE, k ˈɔː s
COURSES, k ˈɔː s ɪ z
COURT, k ˈɔː t
COURTESY, k ˈɜː t ə s iː
COURTS, k ˈɔː t s
COURTYARD, k ˈɔː t j ˌɑː d
COUSIN, k ˈɐ z ə n
COUSINS, k ˈɐ z ə n z
COVE, k ˈəʊ v
COVENANT, k ˈɐ v ə n ə n t
COVENTRY(1), k ˈɒ v ə n t ɹ iː
COVENTRY(2), k ˈɐ v ə n t ɹ iː
COVER, k ˈɐ v ə
COVERAGE(1), k ˈɐ v ɹ ɪ dʒ
COVERAGE(2), k ˈɐ v ə ɹ ɪ dʒ
COVERED, k ˈɐ v ə d
COVERING(1), k ˈɐ v ɹ ɪ ŋ
COVERING(2), k ˈɐ v ə ɹ ɪ ŋ
COVERS, k ˈɐ v ə z
COW, k ˈaʊ
COWARD, k ˈaʊ ə d
COWBOY, k ˈaʊ b ˌɔɪ
COWS, k ˈaʊ z
COX, k ˈɒ k s
CRACK, k ɹ ˈæ k
CRACKED, k ɹ ˈæ k t
CRACKER, k ɹ ˈæ k ə
CRACKERS, k ɹ ˈæ k ə z
CRACKING, k ɹ ˈæ k ɪ ŋ
CRADLE, k ɹ ˈeɪ d ə l
CRAFT, k ɹ ˈɑː f t
CRAFTS, k ɹ ˈɑː f t s
CRAFTY, k ɹ ˈɑː f t iː
CRAIG, k ɹ ˈeɪ g
CRANE, k ɹ ˈeɪ n
CRAP, k ɹ ˈæ p
CRAPS, k ɹ ˈæ p s
CRASH, k ɹ ˈæ ʃ
CRASHED, k ɹ ˈæ ʃ t
CRAWFORD, k ɹ ˈɔː f ə d
CRAWL, k ɹ ˈɔː l
CRAWLEY, k ɹ ˈɔː l iː
CRAZY, k ɹ ˈeɪ z iː
CREAM, k ɹ ˈiː m
CREATE, k ɹ iː ˈeɪ t
CREATED, k ɹ iː ˈeɪ t ɪ d
CREATES, k ɹ iː ˈeɪ t s
CREATING, k ɹ iː ˈeɪ t ɪ ŋ
CREATION, k ɹ iː ˈeɪ ʃ ə n
CREATIONS, k ɹ iː ˈeɪ ʃ ə n z
CREATIVE, k ɹ iː ˈeɪ t ɪ v
CREATIVITY, k ɹ ˌiː eɪ t ˈɪ v ɪ t iː
CREATOR, k ɹ iː ˈeɪ t ə
CREATURE, k ɹ ˈiː tʃ ə
CREATURES, k ɹ ˈiː tʃ ə z
CREDIBILITY, k ɹ ˌɛ d ɪ b ˈɪ l ɪ t iː
CREDIT, k ɹ ˈɛ d ɪ t
CREDITOR, k ɹ ˈɛ d ɪ t ə
CREDITORS, k ɹ ˈɛ d ɪ t ə z
CREDITS, k ɹ ˈɛ d ɪ t s
CREED, k ɹ ˈiː d
CREEK, k ɹ ˈiː k
CREEP, k ɹ ˈiː p
CREEPY, k ɹ ˈiː p iː
CREME, k ɹ ˈiː m
CREW, k ɹ ˈuː
CREWS, k ɹ ˈuː z
CRICKET, k ɹ ˈɪ k ɪ t
CRIED, k ɹ ˈaɪ d
CRIES, k ɹ ˈaɪ z
CRIME, k ɹ ˈaɪ m
CRIMES, k ɹ ˈaɪ m z
CRIMINAL, k ɹ ˈɪ m ɪ n ə l
CRIMINALS, k ɹ ˈɪ m ɪ n ə l z
CRISES, k ɹ ˈaɪ s iː z
CRISIS, k ɹ ˈaɪ s ɪ s
CRISPS, k ɹ ˈɪ s p s
CRITERIA, k ɹ aɪ t ˈɪə ɹ ɪə
CRITERION, k ɹ aɪ t ˈɪə ɹ ɪə n
CRITIC, k ɹ ˈɪ t ɪ k
CRITICAL, k ɹ ˈɪ t ɪ k ə l
CRITICISED, k ɹ ˈɪ t ɪ s aɪ s t
CRITICISM, k ɹ ˈɪ t ɪ s ˌɪ z ə m
CRITICISMS, k ɹ ˈɪ t ɪ s ˌɪ z ə m z
CRITICS, k ɹ ˈɪ t ɪ k s
CRITIQUE, k ɹ ɪ t ˈiː k
CROATIA, k ɹ əʊ ˈeɪ ʃ ə
CROP, k ɹ ˈɒ p
CROPS, k ɹ ˈɒ p s
CROQUET, k ɹ ˈəʊ k eɪ
CROSS, k ɹ ˈɒ s
CROSSED, k ɹ ˈɒ s t
CROSSING, k ɹ ˈɒ s ɪ ŋ
CROSSWORD, k ɹ ˈɒ s w ˌɜː d
CROWD, k ɹ ˈaʊ d
CROWDS, k ɹ ˈaʊ d z
CROWN, k ɹ ˈaʊ n
CROYDON, k ɹ ˈɔɪ d ə n
CRUCIAL, k ɹ ˈuː ʃ ə l
CRUDE, k ɹ ˈuː d
CRUEL(1), k ɹ ˈʊə l
CRUEL(2), k ɹ ˈuː ə l
CRUELTY(1), k ɹ ˈʊə l t iː
CRUELTY(2), k ɹ ˈuː ə l t iː
CRUISE, k ɹ ˈuː z
CRUISES, k ɹ ˈuː z ɪ z
CRUMBS, k ɹ ˈɐ m z
CRUSH, k ɹ ˈɐ ʃ
CRUZ, k ɹ ˈuː z
CRY, k ɹ ˈaɪ
CRYING, k ɹ ˈaɪ ɪ ŋ
CRYSTAL, k ɹ ˈɪ s t ə l
CUBA, k j ˈuː b ə
CUBE, k j ˈuː b
CUBIC, k j ˈuː b ɪ k
CUBS, k ˈɐ b z
CUDDLE, k ˈɐ d ə l
CUE, k j ˈuː
CUES, k j ˈuː z
CUISINE, k w ɪ z ˈiː n
CULT, k ˈɐ l t
CULTURAL, k ˈɐ l tʃ ə ɹ ə l
CULTURE, k ˈɐ l tʃ ə
CULTURES, k ˈɐ l tʃ ə z
CUM, k ˈɐ m
CUMBERLAND, k ˈɐ m b ə l ə n d
CUMULATIVE, k j ˈuː m j ʊ l ə t ɪ v
CUNT, k ˈɐ n t
CUP, k ˈɐ p
CUPBOARD, k ˈɐ b ə d
CUPBOARDS, k ˈɐ b ə d z
CUPS, k ˈɐ p s
CURE, k j ˈʊə
CURIOSITY, k j ʊə ɹ ɪ ˈɒ s ɪ t iː
CURIOUS, k j ˈʊə ɹ ɪə s
CURIOUSLY, k j ˈʊə ɹ ɪə s l iː
CURL, k ˈɜː l
CURLY, k ˈɜː l iː
CURRENCIES, k ˈɐ ɹ ə n s iː z
CURRENCY, k ˈɐ ɹ ə n s iː
CURRENT, k ˈɐ ɹ ə n t
CURRENTLY, k ˈɐ ɹ ə n t l iː
CURRICULUM, k ə ɹ ˈɪ k j ʊ l ə m
CURRY, k ˈɐ ɹ iː
CURSE, k ˈɜː s
CURSED, k ˈɜː s t
CURSOR, k ˈɜː s ə
CURTAIN, k ˈɜː t ə n
CURTAINS, k ˈɜː t ə n z
CURVE, k ˈɜː v
CURVES, k ˈɜː v z
CUSHION, k ˈʊ ʃ ə n
CUSTARD, k ˈɐ s t ə d
CUSTODY, k ˈɐ s t ə d iː
CUSTOM, k ˈɐ s t ə m
CUSTOMER, k ˈɐ s t ə m ə
CUSTOMERS, k ˈɐ s t ə m ə z
CUSTOMISE, k ˈɐ s t ə m ˌaɪ z
CUSTOMIZE, k ˈɐ s t ə m ˌaɪ z
CUSTOMIZED, k ˈɐ s t ə m ˌaɪ z d
CUSTOMS, k ˈɐ s t ə m z
CUT, k ˈɐ t
CUTE, k j ˈuː t
CUTS, k ˈɐ t s
CUTTING, k ˈɐ t ɪ ŋ
CYBER, s ˈaɪ b ə
CYCLE, s ˈaɪ k ə l
CYCLES, s ˈaɪ k ə l z
CYCLING, s ˈaɪ k l ɪ ŋ
CYLINDER, s ˈɪ l ɪ n d ə
CYNICAL, s ˈɪ n ɪ k ə l
CYPRUS, s ˈaɪ p ɹ ə s
CZECH, tʃ ˈɛ k
DAD, d ˈæ d
DADDY, d ˈæ d iː
DAFT, d ˈɑː f t
DAGENHAM, d ˈæ g ə n ə m
DAILY, d ˈeɪ l iː
DAIRY, d ˈɛə ɹ iː
DAISY, d ˈeɪ z iː
DAKOTA, d ə k ˈəʊ t ə
DALE, d ˈeɪ l
DALLAS, d ˈæ l ə s
DAM, d ˈæ m
DAMAGE, d ˈæ m ɪ dʒ
DAMAGED, d ˈæ m ɪ dʒ d
DAMAGES, d ˈæ m ɪ dʒ ɪ z
DAME, d ˈeɪ m
DAMMIT, d ˈæ m ɪ t
DAMN, d ˈæ m
DAMNED, d ˈæ m d
DAMP, d ˈæ m p
DAN, d ˈæ n
DANCE, d ˈɑː n s
DANCED, d ˈɑː n s t
DANCER, d ˈɑː n s ə
DANCERS, d ˈɑː n s ə z
DANCING, d ˈɑː n s ɪ ŋ
DANGER, d ˈeɪ n dʒ ə
DANGEROUS, d ˈeɪ n dʒ ə ɹ ə s
DANGERS, d ˈeɪ n dʒ ə z
DANIEL, d ˈæ n j ə l
DANISH, d ˈeɪ n ɪ ʃ
DANNY, d ˈæ n iː
DARE, d ˈɛə
DARK, d ˈɑː k
DARKER, d ˈɑː k ə
DARKNESS, d ˈɑː k n ə s
DARLING, d ˈɑː l ɪ ŋ
DARLINGTON, d ˈɑː l ɪ ŋ t ə n
DARN, d ˈɑː n
DARREN, d ˈæ ɹ ə n
DARTS, d ˈɑː t s
DARWIN, d ˈɑː w ɪ n
DARYL, d ˈæ ɹ ə l
DASH, d ˈæ ʃ
DATA(1), d ˈeɪ t ə
DATA(2), d ˈɑː t ə
DATABASE, d ˈeɪ t ə b ˌeɪ s
DATABASES, d ˈeɪ t ə b ˌeɪ s ɪ z
DATE, d ˈeɪ t
DATED, d ˈeɪ t ɪ d
DATES, d ˈeɪ t s
DATING, d ˈeɪ t ɪ ŋ
DAUGHTER, d ˈɔː t ə
DAUGHTERS, d ˈɔː t ə z
DAVE, d ˈeɪ v
DAVID, d ˈeɪ v ɪ d
DAVIDSON, d ˈeɪ v ɪ d s ə n
DAVIES, d ˈeɪ v iː z
DAVIS, d ˈeɪ v ɪ s
DAWN, d ˈɔː n
DAY, d ˈeɪ
DAYLIGHT, d ˈeɪ l ˌaɪ t
DAYS, d ˈeɪ z
DAYTON, d ˈeɪ t ə n
DEAD, d ˈɛ d
DEADLINE, d ˈɛ d l ˌaɪ n
DEADLY, d ˈɛ d l iː
DEAF, d ˈɛ f
DEAL, d ˈiː l
DEALER, d ˈiː l ə
DEALERS, d ˈiː l ə z
DEALING, d ˈiː l ɪ ŋ
DEALINGS, d ˈiː l ɪ ŋ z
DEALS, d ˈiː l z
DEALT, d ˈɛ l t
DEAN, d ˈiː n
DEAR, d ˈɪə
DEARER, d ˈɪə ɹ ə
DEAREST, d ˈɪə ɹ ɪ s t
DEATH, d ˈɛ θ
DEATHS, d ˈɛ θ s
DEBATE, d ɪ b ˈeɪ t
DEBATES, d ɪ b ˈeɪ t s
DEBBIE, d ˈɛ b iː
DEBORAH(1), d ˈɛ b ɹ ə
DEBORAH(2), d ˈɛ b ə ɹ ə
DEBRIS(1), d ˈɛ b ɹ iː
DEBRIS(2), d ˈeɪ b ɹ iː
DEBT, d ˈɛ t
DEBTOR, d ˈɛ t ə
DEBTS, d ˈɛ t s
DEBUG, d iː b ˈɐ g
DEBUT, d ˈeɪ b j uː
DEC, d ˈɛ k
DECADE(1), d ˈɛ k eɪ d
DECADE(2), d ɛ k ˈeɪ d
DECADES(1), d ˈɛ k eɪ d z
DECADES(2), d ɛ k ˈeɪ d z
DECEMBER, d ɪ s ˈɛ m b ə
DECENT, d ˈiː s ə n t
DECIDE, d ˌɪ s ˈaɪ d
DECIDED, d ˌɪ s ˈaɪ d ɪ d
DECIDES, d ˌɪ s ˈaɪ d z
DECIDING, d ˌɪ s ˈaɪ d ɪ ŋ
DECIMAL, d ˈɛ s ə m ə l
DECISION, d ɪ s ˈɪ ʒ ə n
DECISIONS, d ɪ s ˈɪ ʒ ə n z
DECISIVE, d ɪ s ˈaɪ s ɪ v
DECK, d ˈɛ k
DECLARATION, d ˌɛ k l ə ɹ ˈeɪ ʃ ə n
DECLARE, d ɪ k l ˈɛə
DECLARED, d ɪ k l ˈɛə d
DECLINE, d ɪ k l ˈaɪ n
DECLINED, d ɪ k l ˈaɪ n d
DECOR(1), d ˈeɪ k ɔː
DECOR(2), d ˈɛ k ɔː
DECORATING, d ˈɛ k ə ɹ ˌeɪ t ɪ ŋ
DECORATION, d ˌɛ k ə ɹ ˈeɪ ʃ ə n
DECORATIONS, d ˌɛ k ə ɹ ˈeɪ ʃ ə n z
DECORATIVE, d ˈɛ k ɹ ə t ɪ v
DECREASE(1), d ˈiː k ɹ ˌiː s
DECREASE(2), d ɪ k ɹ ˈiː s
DECREASED(1), d ˈiː k ɹ ˌiː s t
DECREASED(2), d ɪ k ɹ ˈiː s t
DECREE, d ɪ k ɹ ˈiː
DEDICATE, d ˈɛ d ɪ k eɪ t
