'COS, k ˈə z
CRITICIZE, k ɹ ˈɪ t ɪ s ˌaɪ z
CRITICIZED, k ɹ ˈɪ t ɪ s ˌaɪ z d
CRITICS, k ɹ ˈɪ t ɪ k s
CRITIQUE, k ɹ ɪ t ˈiː k
CROAK, k ɹ ˈəʊ k
CROATIA, k ɹ əʊ ˈeɪ ʃ ə
CROCHET, k ɹ ˈəʊ ʃ eɪ
CROCODILE, k ɹ ˈɒ k ə d aɪ l
CROISSANT, k ɹ ˈɐ s ɒ ŋ
CRONY, k ɹ ˈəʊ n i
CROOK, k ɹ ˈʊ k
CROOKED, k ɹ ˈʊ k ɪ d
CROP, k ɹ ˈɒ p
CROPS, k ɹ ˈɒ p s
CROQUET, k ɹ ˈəʊ k eɪ
CROSS, k ɹ ˈɒ s
CROSSED, k ɹ ˈɒ s t
CROSSING, k ɹ ˈɒ s ɪ ŋ
CROSSWORD, k ɹ ˈɒ s w ˌɜː d
CROW, k ɹ ˈəʊ
CROWD, k ɹ ˈaʊ d
CROWDED, k ɹ ˈaʊ d ɪ d
CROWDS, k ɹ ˈaʊ d z
CROWN, k ɹ ˈaʊ n
CROYDON, k ɹ ˈɔɪ d ə n
CRUCIAL, k ɹ ˈuː ʃ ə l
CRUCIFICTION, k ɹ ˌuː s ɪ f ˈɪ k ʃ ə n
CRUD, k ɹ ˈɐ d
CRUDE, k ɹ ˈuː d
CRUEL(1), k ɹ ˈʊə l
CRUEL(2), k ɹ ˈuː ə l
CRUELTY(1), k ɹ ˈʊə l t i
CRUELTY(2), k ɹ ˈuː ə l t i
CRUISE, k ɹ ˈuː z
CRUISES, k ɹ ˈuː z ɪ z
CRUMB, k ɹ ˈɐ m
CRUMBLE, k ɹ ˈɐ m b ə l
CRUMBS, k ɹ ˈɐ m z
CRUNCH, k ɹ ˈɐ n tʃ
CRUNCHY, k ɹ ˈɐ n tʃ i
CRUSH, k ɹ ˈɐ ʃ
CRUST, k ɹ ˈɐ s t
CRUTCH, k ɹ ˈɐ tʃ
CRUTCHES, k ɹ ˈɐ tʃ ɪ z
CRUX, k ɹ ˈɐ k s
CRUZ, k ɹ ˈuː z
CRY, k ɹ ˈaɪ
CRYING, k ɹ ˈaɪ ɪ ŋ
CRYSTAL, k ɹ ˈɪ s t ə l
CUB, k ˈɐ b
CUBA, k j ˈuː b ə
CUBE, k j ˈuː b
CUBIC, k j ˈuː b ɪ k
CUBS, k ˈɐ b z
CUCKFIELD, k ˈʊ k f iː l d
CUCKOO, k ˈʊ k uː
CUCUMBER, k j ˈuː k ˌɐ m b ə
CUDDLE, k ˈɐ d ə l
CUE, k j ˈuː
CUES, k j ˈuː z
CUFF, k ˈɐ f
CUISINE, k w ɪ z ˈiː n
CUL-DE-SAC, k ˈɐ l d s ˌæ k
CULL, k ˈɐ l
CULT, k ˈɐ l t
CULTURAL, k ˈɐ l tʃ ə ɹ ə l
CULTURE, k ˈɐ l tʃ ə
CULTURES, k ˈɐ l tʃ ə z
CUM, k ˈɐ m
CUMBERLAND, k ˈɐ m b ə l ə n d
CUMULATIVE, k j ˈuː m j ʊ l ə t ɪ v
CUNT, k ˈɐ n t
CUP, k ˈɐ p
CUPBOARD, k ˈɐ b ə d
CUPBOARDS, k ˈɐ b ə d z
CUPS, k ˈɐ p s
CURB, k ˈɜː b
CURDLE, k ˈɜː d ə l
CURDS, k ˈɜː d z
CURE, k j ˈʊə
CURIOSITY, k j ʊə ɹ ɪ ˈɒ s ɪ t i
CURIOUS, k j ˈʊə ɹ ɪə s
CURIOUSLY, k j ˈʊə ɹ ɪə s l i
CURL, k ˈɜː l
CURLY, k ˈɜː l i
CURMUDGEON, k ɜː m ˈɐ dʒ ə n
CURRENCIES, k ˈɐ ɹ ə n s i z
CURRENCY, k ˈɐ ɹ ə n s i
CURRENT, k ˈɐ ɹ ə n t
CURRENTLY, k ˈɐ ɹ ə n t l i
CURRICULA, k ə ɹ ˈɪ k j ʊ l ə
CURRICULUM, k ə ɹ ˈɪ k j ʊ l ə m
CURRY, k ˈɐ ɹ i
CURSE, k ˈɜː s
CURSED(1), k ˈɜː s t
CURSED(2), k ˈɜː s ɪ d
CURSOR, k ˈɜː s ə
CURT, k ˈɜː t
CURTAIN, k ˈɜː t ə n
CURTAINS, k ˈɜː t ə n z
CURVE, k ˈɜː v
CURVES, k ˈɜː v z
CUSHION, k ˈʊ ʃ ə n
CUSP, k ˈɐ s p
CUSTARD, k ˈɐ s t ə d
CUSTODY, k ˈɐ s t ə d i
CUSTOM, k ˈɐ s t ə m
CUSTOMER, k ˈɐ s t ə m ə
CUSTOMERS, k ˈɐ s t ə m ə z
CUSTOMISE, k ˈɐ s t ə m ˌaɪ z
CUSTOMIZE, k ˈɐ s t ə m ˌaɪ z
CUSTOMIZED, k ˈɐ s t ə m ˌaɪ z d
CUSTOMS, k ˈɐ s t ə m z
CUT, k ˈɐ t
CUTE, k j ˈuː t
CUTLERY, k ˈɐ t l ə ɹ i
CUTS, k ˈɐ t s
CUTTING, k ˈɐ t ɪ ŋ
CUTTLEFISH, k ˈɐ t ə l f ˌɪ ʃ
CYBER, s ˈaɪ b ə
CYCLE, s ˈaɪ k ə l
CYCLES, s ˈaɪ k ə l z
CYCLIC, s ˈaɪ k l ɪ k
CYCLING, s ˈaɪ k l ɪ ŋ
CYLINDER, s ˈɪ l ɪ n d ə
CYNIC, s ˈɪ n ɪ k
CYNICAL, s ˈɪ n ɪ k ə l
CYPRUS, s ˈaɪ p ɹ ə s
CYST, s ˈɪ s t
CZECH, tʃ ˈɛ k
CZECHIA, tʃ ˈɛ k ɪə
DAD, d ˈæ d
DADDY, d ˈæ d i
DAEMON, d ˈiː m ə n
DAFT, d ˈɑː f t
DAGENHAM, d ˈæ g ə n ə m
DAILY, d ˈeɪ l i
DAIRY, d ˈɛə ɹ i
DAISY, d ˈeɪ z i
DAKOTA, d ə k ˈəʊ t ə
DALE, d ˈeɪ l
DALLAS, d ˈæ l ə s
DALMATIAN, d æ l m ˈeɪ ʃ ə n
DAM, d ˈæ m
DAMAGE, d ˈæ m ɪ dʒ
DAMAGED, d ˈæ m ɪ dʒ d
DAMAGES, d ˈæ m ɪ dʒ ɪ z
DAMAGING, d ˈæ m ɪ dʒ ɪ ŋ
DAME, d ˈeɪ m
DAMMIT, d ˈæ m ɪ t
DAMN, d ˈæ m
DAMNED, d ˈæ m d
DAMP, d ˈæ m p
DAN, d ˈæ n
DANCE, d ˈɑː n s
DANCED, d ˈɑː n s t
DANCER, d ˈɑː n s ə
DANCERS, d ˈɑː n s ə z
DANCING, d ˈɑː n s ɪ ŋ
DANE, d ˈeɪ n
DANGER, d ˈeɪ n dʒ ə
DANGEROUS, d ˈeɪ n dʒ ə ɹ ə s
DANGERS, d ˈeɪ n dʒ ə z
DANIEL, d ˈæ n j ə l
DANISH, d ˈeɪ n ɪ ʃ
DANK, d ˈæ ŋ k
DANNY, d ˈæ n i
DARE, d ˈɛə
DARK, d ˈɑː k
DARKER, d ˈɑː k ə
DARKNESS, d ˈɑː k n ɪ s
DARLING, d ˈɑː l ɪ ŋ
DARLINGTON, d ˈɑː l ɪ ŋ t ə n
DARN, d ˈɑː n
DARREN, d ˈæ ɹ ə n
DART, d ˈɑː t
DARTS, d ˈɑː t s
DARWIN, d ˈɑː w ɪ n
DARYL, d ˈæ ɹ ɪ l
DASH, d ˈæ ʃ
DATA(1), d ˈeɪ t ə
DATA(2), d ˈɑː t ə
DATABASE, d ˈeɪ t ə b ˌeɪ s
DATABASES, d ˈeɪ t ə b ˌeɪ s ɪ z
DATE, d ˈeɪ t
DATED, d ˈeɪ t ɪ d
DATES, d ˈeɪ t s
DATING, d ˈeɪ t ɪ ŋ
DATUM, d ˈeɪ t ə m
DAUB, d ˈɔː b
DAUGHTER, d ˈɔː t ə
DAUGHTERS, d ˈɔː t ə z
DAVE, d ˈeɪ v
DAVID, d ˈeɪ v ɪ d
DAVIDSON, d ˈeɪ v ɪ d s ə n
DAVIES, d ˈeɪ v i z
DAVIS, d ˈeɪ v ɪ s
DAWN, d ˈɔː n
DAY, d ˈeɪ
DAYDREAM, d ˈeɪ d ɹ ˌiː m
DAYLIGHT, d ˈeɪ l ˌaɪ t
DAYS, d ˈeɪ z
DAYTON, d ˈeɪ t ə n
DAZE, d ˈeɪ z
DEAD, d ˈɛ d
DEADLINE, d ˈɛ d l ˌaɪ n
DEADLY, d ˈɛ d l i
DEAF, d ˈɛ f
DEAL, d ˈiː l
DEALER, d ˈiː l ə
DEALERS, d ˈiː l ə z
DEALING, d ˈiː l ɪ ŋ
DEALINGS, d ˈiː l ɪ ŋ z
DEALS, d ˈiː l z
DEALT, d ˈɛ l t
DEAN, d ˈiː n
DEAR, d ˈɪə
DEARER, d ˈɪə ɹ ə
DEAREST, d ˈɪə ɹ ɪ s t
DEARTH, d ˈɜː θ
DEATH, d ˈɛ θ
DEATHS, d ˈɛ θ s
DEBATE, d ɪ b ˈeɪ t
DEBATES, d ɪ b ˈeɪ t s
DEBBIE, d ˈɛ b i
DEBIT, d ˈɛ b ɪ t
DEBORAH(1), d ˈɛ b ɹ ə
DEBORAH(2), d ˈɛ b ə ɹ ə
DEBRIS(1), d ˈɛ b ɹ i
DEBRIS(2), d ˈeɪ b ɹ i
DEBT, d ˈɛ t
DEBTOR, d ˈɛ t ə
DEBTS, d ˈɛ t s
DEBUG, d iː b ˈɐ g
DEBUT, d ˈeɪ b j uː
DEC, d ˈɛ k
DECADE(1), d ˈɛ k eɪ d
DECADE(2), d ɪ k ˈeɪ d
DECADES(1), d ˈɛ k eɪ d z
DECADES(2), d ɪ k ˈeɪ d z
DECAF, d ˈiː k æ f
DECAFF, d ˈiː k æ f
DECAY, d ɪ k ˈeɪ
DECEASED, d ɪ s ˈiː s t
DECEIVE, d ɪ s ˈiː v
DECEMBER, d ɪ s ˈɛ m b ə
DECENCY, d ˈiː s ə n s i
DECENT, d ˈiː s ə n t
DECEPTION, d ɪ s ˈɛ p ʃ ə n
DECIDE, d ɪ s ˈaɪ d
DECIDED, d ɪ s ˈaɪ d ɪ d
DECIDES, d ɪ s ˈaɪ d z
DECIDING, d ɪ s ˈaɪ d ɪ ŋ
DECIMAL, d ˈɛ s ɪ m ə l
DECISION, d ɪ s ˈɪ ʒ ə n
DECISION-MAKER, d ɪ s ˈɪ ʒ ə n m ˌeɪ k ə
DECISION-MAKING, d ɪ s ˈɪ ʒ ə n m ˌeɪ k ɪ ŋ
DECISIONS, d ɪ s ˈɪ ʒ ə n z
DECISIVE, d ɪ s ˈaɪ s ɪ v
DECK, d ˈɛ k
DECLARATION, d ˌɛ k l ə ɹ ˈeɪ ʃ ə n
DECLARE, d ɪ k l ˈɛə
DECLARED, d ɪ k l ˈɛə d
DECLINE, d ɪ k l ˈaɪ n
DECLINED, d ɪ k l ˈaɪ n d
DECODE, d iː k ˈəʊ d
DECODED, d iː k ˈəʊ d ɪ d
DECOR(1), d ˈeɪ k ɔː
DECOR(2), d ˈɛ k ɔː
DECORATE, d ˈɛ k ə ɹ ˌeɪ t
DECORATES, d ˈɛ k ə ɹ ˌeɪ t s
DECORATING, d ˈɛ k ə ɹ ˌeɪ t ɪ ŋ
DECORATION, d ˌɛ k ə ɹ ˈeɪ ʃ ə n
DECORATIONS, d ˌɛ k ə ɹ ˈeɪ ʃ ə n z
DECORATIVE(1), d ˈɛ k ɹ ə t ɪ v
DECORATIVE(2), d ˈɛ k ə ɹ ə t ɪ v
DECOY(1), d ˈiː k ɔɪ
DECOY(2), d ɪ k ˈɔɪ
DECREASE(1), d ˈiː k ɹ ˌiː s
DECREASE(2), d ɪ k ɹ ˈiː s
DECREASED(1), d ˈiː k ɹ ˌiː s t
DECREASED(2), d ɪ k ɹ ˈiː s t
DECREE, d ɪ k ɹ ˈiː
DECREPIT, d ɪ k ɹ ˈɛ p ɪ t
DEDICATE, d ˈɛ d ɪ k eɪ t
DEDICATED, d ˈɛ d ɪ k eɪ t ɪ d
DEDUCT, d ɪ d ˈɐ k t
DEDUCTIBLE, d ɪ d ˈɐ k t ɪ b ə l
DEE, d ˈiː
DEED, d ˈiː d
DEEM, d ˈiː m
DEEMED, d ˈiː m d
DEEP, d ˈiː p
DEEPEN, d ˈiː p ə n
DEEPER, d ˈiː p ə
DEEPLY, d ˈiː p l i
DEER, d ˈɪə
DEES, d ˈiː z
DEFAULT(1), d ˈiː f ɔː l t
DEFAULT(2), d ɪ f ˈɔː l t
DEFEAT, d ɪ f ˈiː t
DEFEATED, d ɪ f ˈiː t ɪ d
DEFECT(1), d ˈiː f ɛ k t
DEFECT(2), d ɪ f ˈɛ k t
DEFECTIVE, d ɪ f ˈɛ k t ɪ v
DEFECTS(1), d ˈiː f ɛ k t s
DEFECTS(2), d ɪ f ˈɛ k t s
DEFENCE, d ɪ f ˈɛ n s
DEFENCES, d ɪ f ˈɛ n s ɪ z
DEFEND, d ɪ f ˈɛ n d
DEFENDANT, d ɪ f ˈɛ n d ə n t
DEFENDANTS, d ɪ f ˈɛ n d ə n t s
DEFENDER, d ɪ f ˈɛ n d ə
DEFENDING, d ɪ f ˈɛ n d ɪ ŋ
DEFENSE, d ɪ f ˈɛ n s
DEFENSIVE, d ɪ f ˈɛ n s ɪ v
DEFER, d ɪ f ˈɜː
DEFERRED, d ɪ f ˈɜː d
DEFICIENCY, d ɪ f ˈɪ ʃ ə n s i
DEFICIENT, d ɪ f ˈɪ ʃ ə n t
DEFICIT, d ˈɛ f ɪ s ɪ t
DEFINE, d ɪ f ˈaɪ n
DEFINED, d ɪ f ˈaɪ n d
DEFINES, d ɪ f ˈaɪ n z
DEFINING, d ɪ f ˈaɪ n ɪ ŋ
DEFINITE, d ˈɛ f ɪ n ɪ t
DEFINITELY, d ˈɛ f ɪ n ɪ t l i
DEFINITION, d ˌɛ f ɪ n ˈɪ ʃ ə n
DEFINITIONS, d ˌɛ f ɪ n ˈɪ ʃ ə n z
DEFLECTION, ɹ ɪ f l ˈɛ k ʃ ə n
DEFT, d ˈɛ f t
DEFY, d ɪ f ˈaɪ
DEGRADE, d ɪ g ɹ ˈeɪ d
DEGRADED, d ɪ g ɹ ˈeɪ d ɪ d
DEGRADES, d ɪ g ɹ ˈeɪ d z
DEGREE, d ɪ g ɹ ˈiː
DEGREES, d ɪ g ɹ ˈiː z
DEITY(1), d ˈeɪ ɪ t i
DEITY(2), d ˈiː t i
DELAWARE, d ˈɛ l ə w ˌɛə
DELAY, d ɪ l ˈeɪ
DELAYED, d ɪ l ˈeɪ d
DELAYS, d ɪ l ˈeɪ z
DELEGATE(1), d ˈɛ l ɪ g ɪ t
DELEGATE(2), d ˈɛ l ɪ g ˌeɪ t
DELEGATES(1), d ˈɛ l ɪ g ɪ t s
DELEGATES(2), d ˈɛ l ɪ g ˌeɪ t s
DELEGATION, d ˌɛ l ɪ g ˈeɪ ʃ ə n
DELETE, d ɪ l ˈiː t
DELETED, d ɪ l ˈiː t ɪ d
DELHI, d ˈɛ l i
DELIBERATE(1), d ɪ l ˈɪ b ɹ ɪ t
DELIBERATE(2), d ɪ l ˈɪ b ə ɹ ɪ t
DELIBERATE(3), d ɪ l ˈɪ b ə ɹ ˌeɪ t
DELIBERATELY(1), d ɪ l ˈɪ b ɹ ɪ t l i
DELIBERATELY(2), d ɪ l ˈɪ b ə ɹ ɪ t l i
DELICATE, d ˈɛ l ɪ k ɪ t
DELICIOUS, d ɪ l ˈɪ ʃ ə s
DELIGHT, d ɪ l ˈaɪ t
DELIGHTED, d ɪ l ˈaɪ t ɪ d
DELIGHTFUL, d ɪ l ˈaɪ t f ə l
DELIVER, d ɪ l ˈɪ v ə
DELIVERED, d ɪ l ˈɪ v ə d
DELIVERING, d ɪ l ˈɪ v ə ɹ ɪ ŋ
DELIVERS, d ɪ l ˈɪ v ə z
DELIVERY, d ɪ l ˈɪ v ə ɹ i
DELL, d ˈɛ l
DELTA, d ˈɛ l t ə
DELUXE(1), d ɪ l ˈɐ k s
DELUXE(2), d ɪ l ˈʊ k s
DELVE, d ˈɛ l v
DEMAND, d ɪ m ˈɑː n d
DEMANDED, d ɪ m ˈɑː n d ɪ d
DEMANDING, d ɪ m ˈɑː n d ɪ ŋ
DEMANDS, d ɪ m ˈɑː n d z
DEMISE, d ɪ m ˈaɪ z
DEMO, d ˈɛ m əʊ
DEMOCRACY, d ɪ m ˈɒ k ɹ ə s i
DEMOCRAT, d ˈɛ m ə k ɹ ˌæ t
DEMOCRATIC, d ˌɛ m ə k ɹ ˈæ t ɪ k
DEMOCRATS, d ˈɛ m ə k ɹ ˌæ t s
DEMOGRAPHIC, d ˌɛ m ə g ɹ ˈæ f ɪ k
DEMOLISH, d ɪ m ˈɒ l ɪ ʃ
DEMOLITION, d ˌɪ m ɒ l ˈɪ ʃ ə n
DEMON, d ˈiː m ə n
DEMONS, d ˈiː m ə n z
DEMONSTRATE, d ˈɛ m ə n s t ɹ ˌeɪ t
DEMONSTRATED, d ˈɛ m ə n s t ɹ ˌeɪ t ɪ d
DEMONSTRATES, d ˈɛ m ə n s t ɹ ˌeɪ t s
DEMONSTRATION, d ˌɛ m ə n s t ɹ ˈeɪ ʃ ə n
DEMONSTRATIONS, d ˌɛ m ə n s t ɹ ˈeɪ ʃ ə n z
DEMONSTRATOR, d ˈɛ m ə n s t ɹ ˌeɪ t ə
DEMONSTRATORS, d ˈɛ m ə n s t ɹ ˌeɪ t ə z
DEN, d ˈɛ n
DENBIGH, d ˈɛ n b i
DENIAL, d ɪ n ˈaɪ ə l
DENIED, d ɪ n ˈaɪ d
DENIES, d ɪ n ˈaɪ z
DENIM, d ˈɛ n ɪ m
DENIS, d ˈɛ n ɪ s
DENISE, d ɪ n ˈiː s
DENMARK, d ˈɛ n m ˌɑː k
DENNIS, d ˈɛ n ɪ s
DENOMINATOR, d ɪ n ˈɒ m ɪ n ˌeɪ t ə
DENOTE, d ɪ n ˈəʊ t
DENSE, d ˈɛ n s
DENSITY, d ˈɛ n s ɪ t i
DENT, d ˈɛ n t
DENTAL, d ˈɛ n t ə l
DENTIST, d ˈɛ n t ɪ s t
DENTISTS, d ˈɛ n t ɪ s t s
DENVER, d ˈɛ n v ə
DENY, d ɪ n ˈaɪ
DEPART, d ɪ p ˈɑː t
DEPARTMENT, d ɪ p ˈɑː t m ə n t
DEPARTMENTAL, d ˌiː p ɑː t m ˈɛ n t ə l
DEPARTMENTS, d ɪ p ˈɑː t m ə n t s
DEPARTURE, d ɪ p ˈɑː tʃ ə
DEPEND, d ɪ p ˈɛ n d
DEPENDENCE, d ɪ p ˈɛ n d ə n s
DEPENDENCY, d ɪ p ˈɛ n d ə n s i
DEPENDENT, d ɪ p ˈɛ n d ə n t
DEPENDING, d ɪ p ˈɛ n d ɪ ŋ
DEPENDS, d ɪ p ˈɛ n d z
DEPICT, d ɪ p ˈɪ k t
DEPLOY, d ɪ p l ˈɔɪ
DEPLOYMENT, d ɪ p l ˈɔɪ m ə n t
DEPOSIT, d ɪ p ˈɒ z ɪ t
DEPOSITS, d ɪ p ˈɒ z ɪ t s
DEPOT, d ˈɛ p əʊ
DEPRESSED, d ɪ p ɹ ˈɛ s t
DEPRESSING, d ɪ p ɹ ˈɛ s ɪ ŋ
DEPRESSION, d ɪ p ɹ ˈɛ ʃ ə n
DEPRIVATION, d ˌɛ p ɹ ɪ v ˈeɪ ʃ ə n
DEPRIVE, d ɪ p ɹ ˈaɪ v
DEPTH, d ˈɛ p θ
DEPTHS, d ˈɛ p θ s
DEPUTIES, d ˈɛ p j ʊ t i z
DEPUTY, d ˈɛ p j ʊ t i
DERBY(1), d ˈɑː b i
DERBY(2), d ˈɜː b i
DERBYSHIRE, d ˈɑː b ɪ ʃ ə
DEREK, d ˈɛ ɹ ɪ k
DERIVATIVE, d ə ɹ ˈɪ v ə t ɪ v
DERIVATIVES, d ə ɹ ˈɪ v ə t ɪ v z
DERIVE, d ə ɹ ˈaɪ v
DERIVED, d ə ɹ ˈaɪ v d
DESCEND, d ɪ s ˈɛ n d
DESCENDENT, d ɪ s ˈɛ n d ə n t
DESCENDING, d ɪ s ˈɛ n d ɪ ŋ
DESCENT, d ɪ s ˈɛ n t
DESCRIBE, d ɪ s k ɹ ˈaɪ b
DESCRIBED, d ɪ s k ɹ ˈaɪ b d
DESCRIBES, d ɪ s k ɹ ˈaɪ b z
DESCRIBING, d ɪ s k ɹ ˈaɪ b ɪ ŋ
DESCRIPTION, d ɪ s k ɹ ˈɪ p ʃ ə n
DESCRIPTIONS, d ɪ s k ɹ ˈɪ p ʃ ə n z
DESERT(1), d ɪ z ˈɜː t
DESERT(2), d ˈɛ z ə t
DESERVE, d ɪ z ˈɜː v
DESERVED, d ɪ z ˈɜː v d
DESERVES, d ɪ z ˈɜː v z
DESGUISE, d ɪ s g ˈaɪ z
DESIGN, d ɪ z ˈaɪ n
DESIGNATE, d ˈɛ z ɪ g n ˌeɪ t
DESIGNATED, d ˈɛ z ɪ g n ˌeɪ t ɪ d
DESIGNATION, d ˌɛ z ɪ g n ˈeɪ ʃ ə n
DESIGNED, d ɪ z ˈaɪ n d
DESIGNER, d ɪ z ˈaɪ n ə
DESIGNERS, d ɪ z ˈaɪ n ə z
DESIGNING, d ɪ z ˈaɪ n ɪ ŋ
DESIGNS, d ɪ z ˈaɪ n z
DESIRABLE, d ɪ z ˈaɪ ə ɹ ə b ə l
DESIRE, d ɪ z ˈaɪ ə
DESIRED, d ɪ z ˈaɪ ə d
DESIRES, d ɪ z ˈaɪ ə z
DESK, d ˈɛ s k
DESKTOP, d ˈɛ s k t ˌɒ p
DESKTOPS, d ˈɛ s k t ˌɒ p s
DESPAIR, d ɪ s p ˈɛə
DESPERATE(1), d ˈɛ s p ɹ ɪ t
DESPERATE(2), d ˈɛ s p ə ɹ ɪ t
DESPERATELY(1), d ˈɛ s p ɹ ə t l i
DESPERATELY(2), d ˈɛ s p ə ɹ ə t l i
DESPISE, d ɪ s p ˈaɪ z
DESPITE, d ɪ s p ˈaɪ t
DESSERT, d ɪ z ˈɜː t
DESTINATION, d ˌɛ s t ɪ n ˈeɪ ʃ ə n
DESTINATIONS, d ˌɛ s t ɪ n ˈeɪ ʃ ə n z
DESTINY, d ˈɛ s t ɪ n i
DESTROY, d ɪ s t ɹ ˈɔɪ
DESTROYED, d ɪ s t ɹ ˈɔɪ d
DESTRUCTION, d ɪ s t ɹ ˈɐ k ʃ ə n
DESTRUCTIVE, d ɪ s t ɹ ˈɐ k t ɪ v
DETACH, d ɪ t ˈæ tʃ
DETACHED, d ɪ t ˈæ tʃ t
DETAIL, d ˈiː t eɪ l
DETAILED, d ˈiː t eɪ l d
DETAILS, d ˈiː t eɪ l z
DETAIN, d ɪ t ˈeɪ n
DETECT, d ɪ t ˈɛ k t
DETECTED, d ɪ t ˈɛ k t ɪ d
DETECTION, d ɪ t ˈɛ k ʃ ə n
DETECTIVE, d ɪ t ˈɛ k t ɪ v
DETECTIVES, d ɪ t ˈɛ k t ɪ v z
DETECTOR, d ɪ t ˈɛ k t ə
DETENTION, d ɪ t ˈɛ n ʃ ə n
DETER, d ɪ t ˈɜː
DETERIORATE, d ɪ t ˈɪə ɹ ɪə ɹ ˌeɪ t
DETERIORATION, d ɪ t ˈɪə ɹ ɪə ɹ ˌeɪ ʃ ə n
DETERMINATION, d ɪ t ˌɜː m ɪ n ˈeɪ ʃ ə n
DETERMINE, d ɪ t ˈɜː m ɪ n
DETERMINED, d ɪ t ˈɜː m ɪ n d
DETERMINES, d ɪ t ˈɜː m ɪ n z
DETERMINING, d ɪ t ˈɜː m ɪ n ɪ ŋ
DETERRENCE, d ɪ t ˈɛ ɹ ə n s
DETERRENT, d ɪ t ˈɛ ɹ ə n t
DETOUR, d ˈiː t ʊə
DETROIT, d ɪ t ɹ ˈɔɪ t
DEUTSCH, d ˈɔɪ tʃ
DEV, d ˈɛ v
DEVASTATING, d ˈɛ v ə s t ˌeɪ t ɪ ŋ
DEVELOP, d ɪ v ˈɛ l ə p
DEVELOPED, d ɪ v ˈɛ l ə p t
DEVELOPER, d ɪ v ˈɛ l ə p ə
DEVELOPERS, d ɪ v ˈɛ l ə p ə z
DEVELOPING, d ɪ v ˈɛ l ə p ɪ ŋ
DEVELOPMENT, d ɪ v ˈɛ l ə p m ə n t
DEVELOPMENTAL, d ɪ v ˌɛ l ə p m ˈɛ n t ə l
DEVELOPMENTS, d ɪ v ˈɛ l ə p m ə n t s
DEVELOPS, d ɪ v ˈɛ l ə p s
DEVIANT, d ˈiː v ɪə n t
DEVIATION, d ˌiː v ɪ ˈeɪ ʃ ə n
DEVICE, d ɪ v ˈaɪ s
DEVICES, d ɪ v ˈaɪ s ɪ z
DEVIL, d ˈɛ v ə l
DEVISE, d ɪ v ˈaɪ z
DEVON, d ˈɛ v ə n
DEVOTE, d ɪ v ˈəʊ t
DEVOTED, d ɪ v ˈəʊ t ɪ d
DEVOTES, d ɪ v ˈəʊ t s
DEW, d j ˈuː
DIABETES, d ˌaɪ ə b ˈiː t iː z
DIAGNOSE, d ˈaɪ ə g n ˌəʊ z
DIAGNOSES, d ˌaɪ ə g n ˈəʊ s iː z
DIAGNOSIS, d ˌaɪ ə g n ˈəʊ s ɪ s
DIAGNOSTIC, d ˌaɪ ə g n ˈɒ s t ɪ k
DIAGONAL, d aɪ ˈæ g ə n ə l
DIAGRAM, d ˈaɪ ə g ɹ ˌæ m
DIAL(1), d ˈaɪ l
DIAL(2), d ˈaɪ ə l
DIALECT, d ˈaɪ ə l ɛ k t
DIALECTS, d ˈaɪ ə l ɛ k t s
DIALOG, d ˈaɪ ə l ɒ g
DIALOGUE, d ˈaɪ ə l ˌɒ g
DIAMETER, d aɪ ˈæ m ɪ t ə
DIAMOND, d ˈaɪ ə m ə n d
DIAMONDS, d ˈaɪ ə m ə n d z
DIANA, d aɪ ˈæ n ə
DIANE, d aɪ ˈæ n
DIARY, d ˈaɪ ə ɹ i
DIASPORA, d aɪ ˈæ s p ə ɹ ə
DICE, d ˈaɪ s
DICHOTOMY, d ˌaɪ k ˈɒ t ə m i
DICK, d ˈɪ k
DICKHEAD, d ˈɪ k h ˌɛ d
DICKS, d ˈɪ k s
DICTATE, d ɪ k t ˈeɪ t
DICTIONARIES, d ˈɪ k ʃ ə n ə ɹ i z
DICTIONARY, d ˈɪ k ʃ ə n ə ɹ i
DID(1), d ɪ d
DID(2), d ˈɪ d
DIDCOT(1), d ˈɪ d k ə t
DIDCOT(2), d ˈɪ d k ɒ t
DIDN'T, d ˈɪ d n t
DIE, d ˈaɪ
DIED, d ˈaɪ d
DIEGO, d ɪ ˈeɪ g əʊ
DIES, d ˈaɪ z
DIESEL, d ˈiː z ə l
DIET, d ˈaɪ ə t
DIETARY, d ˈaɪ ə t ə ɹ i
DIFF, d ˈɪ f
DIFFER, d ˈɪ f ə
DIFFERENCE(1), d ˈɪ f ɹ ə n s
DIFFERENCE(2), d ˈɪ f ə ɹ ə n s
DIFFERENCES(1), d ˈɪ f ɹ ə n s ɪ z
DIFFERENCES(2), d ˈɪ f ə ɹ ə n s ɪ z
DIFFERENT(1), d ˈɪ f ɹ ə n t
DIFFERENT(2), d ˈɪ f ə ɹ ə n t
DIFFERENTIAL, d ˌɪ f ə ɹ ˈɛ n ʃ ə l
DIFFERENTIATE, d ˌɪ f ə ɹ ɛ n tʃ ɪ ˈeɪ t
DIFFERENTIATION, d ˌɪ f ə ɹ ɛ n tʃ ɪ ˈeɪ ʃ ə n
DIFFERENTLY(1), d ˈɪ f ɹ ə n t l i
DIFFERENTLY(2), d ˈɪ f ə ɹ ə n t l i
DIFFICULT, d ˈɪ f ɪ k ə l t
DIFFICULTIES, d ˈɪ f ɪ k ə l t i z
DIFFICULTY, d ˈɪ f ɪ k ə l t i
